state,secondParentAdoption,hateCrimes,healthBenefits,housing,jobs,marriage,sodomy,civilUnions,meanOpinion
Alabama,29,61,54,68,53,23,28,34,44
Alaska,43,66,59,75,62,42,49,50,56
Arizona,44,70,62,76,64,44,52,54,58
Arkansas,27,65,51,68,50,25,30,34,44
California,51,78,65,81,68,50,58,58,64
Colorado,48,74,61,78,66,47,55,56,61
Connecticut,54,77,68,81,70,52,56,62,65
Delaware,49,76,66,81,68,41,46,54,60
Florida,45,71,63,76,64,39,49,52,57
Georgia,36,68,58,74,60,30,39,43,51
Hawaii,50,76,62,78,65,49,56,57,62
Idaho,33,59,51,67,53,34,42,40,47
Illinois,48,77,64,80,66,42,50,53,60
Indiana,41,66,54,74,60,35,42,45,52
Iowa,45,72,58,76,62,38,44,51,56
Kansas,39,65,54,73,61,36,41,46,52
Kentucky,32,63,52,69,53,28,35,39,46
Louisiana,36,67,58,76,62,30,34,40,51
Maine,52,75,64,79,67,49,52,58,62
Maryland,49,79,67,82,69,41,50,55,61
Massachusetts,57,81,68,82,70,56,61,69,68
Michigan,47,74,60,78,64,39,44,49,57
Minnesota,47,74,60,78,64,42,49,51,58
Mississippi,29,64,55,71,55,23,28,34,45
Missouri,40,69,54,73,57,34,44,45,52
Montana,43,66,58,73,61,41,51,52,56
Nebraska,39,62,53,72,60,32,39,43,50
Nevada,48,73,63,78,65,46,51,55,60
New Hampshire,52,75,66,80,68,51,53,61,63
New Jersey,53,76,67,81,70,48,53,61,64
New Mexico,47,73,61,78,65,45,52,53,59
New York,56,79,71,82,70,52,58,63,66
North Carolina,36,68,58,74,60,31,34,40,50
North Dakota,41,63,55,73,62,33,41,44,51
Ohio,46,73,60,78,64,39,42,46,56
Oklahoma,26,59,49,65,50,25,32,35,43
Oregon,47,75,61,77,63,45,54,56,60
Pennsylvania,46,73,61,78,66,43,47,52,58
Rhode Island,55,79,67,82,70,53,57,64,66
South Carolina,33,66,57,73,59,28,33,42,49
South Dakota,40,65,55,73,60,35,40,44,51
Tennessee,31,65,54,70,53,26,29,35,45
Texas,37,65,59,74,61,32,38,43,51
Utah,22,55,41,57,40,25,33,31,38
Vermont,55,79,66,81,69,53,56,62,65
Virginia,43,71,62,77,64,37,44,45,55
Washington,51,76,61,79,65,49,56,57,62
West Virginia,41,67,57,75,62,33,38,44,52
Wisconsin,44,73,56,77,62,42,51,50,57
Wyoming,37,59,54,70,58,36,45,45,51
